moment,se
MSNBC_block_72,0.000215179450794633
CNN_block_73,0.000190296292362434
FNC_block_73,0.000422220898088427
MSNBC_block_73,0.000214859944177623
CNN_block_74,0.000193725958479847
FNC_block_74,0.00043028661268584
MSNBC_block_74,0.000253772934160032
CNN_block_75,0.000167638163520439
FNC_block_75,0.000423111202029285
MSNBC_block_75,0.000233277740986127
CNN_block_76,0.000159735456153352
FNC_block_76,0.000418017827810578
MSNBC_block_76,0.000233350094986555
CNN_block_77,0.000164799438585721
FNC_block_77,0.00040824034737092
MSNBC_block_77,0.000277611635649728
CNN_block_78,0.000174009622089116
FNC_block_78,0.000409775567127118
MSNBC_block_78,0.000276180528999676
CNN_block_79,0.000165375856448941
FNC_block_79,0.00042000697143638
MSNBC_block_79,0.000269722892447936
CNN_block_80,0.000163584055371316
FNC_block_80,0.000426897351371524
MSNBC_block_80,0.000273764526734773
CNN_block_81,0.000154068155248854
FNC_block_81,0.000405399931371188
MSNBC_block_81,0.000256170576970068
CNN_block_82,0.000167007282415344
FNC_block_82,0.000381652591399304
MSNBC_block_82,0.000254022887216519
CNN_block_83,0.000177022799790249
FNC_block_83,0.000374019863912775
MSNBC_block_83,0.000259871750357605
CNN_block_84,0.00017820738225089
FNC_block_84,0.000371498987054512
MSNBC_block_84,0.000259921995273583
CNN_block_85,0.000195450698170199
FNC_block_85,0.000460948224366036
MSNBC_block_85,0.000246729357496667
CNN_block_86,0.000190095613101747
FNC_block_86,0.000441832587729114
MSNBC_block_86,0.000240309836455634
CNN_block_87,0.000200128707049594
FNC_block_87,0.000433872827910068
MSNBC_block_87,0.000249992504890945
CNN_block_88,0.000225153983191163
FNC_block_88,0.000429861263558174
MSNBC_block_88,0.000243152881775766
CNN_block_89,0.000208749845389792
FNC_block_89,0.00040313276858698
MSNBC_block_89,0.000274957444352688
CNN_block_90,0.000196756411831487
FNC_block_90,0.000393503808069399
MSNBC_block_90,0.000252989237754569
CNN_block_91,0.000197328667580799
FNC_block_91,0.000406165129089185
MSNBC_block_91,0.000250745838164919
CNN_block_92,0.000178797742181691
FNC_block_92,0.000389456267727322
MSNBC_block_92,0.000252334056900382
CNN_block_93,0.000175133446604808
FNC_block_93,0.000374655206055697
MSNBC_block_93,0.000228783119915651
CNN_block_94,0.000171213623047707
FNC_block_94,0.000362786361247518
MSNBC_block_94,0.000212313008902627
CNN_block_95,0.000161637907644628
FNC_block_95,0.000343560069324961
MSNBC_block_95,0.000223923891816713
CNN_block_96,0.000168744988435479
FNC_block_96,0.000326545781705601
MSNBC_block_96,0.00023590188549924
