par,value
pr_rep_005_t03,0.647506788015278
pr_rep_005_t04,0.647506788015278
pr_rep_006_t01,0.588445613797832
pr_rep_006_t02,0.588445613797832
pr_rep_006_t03,0.588445613797832
pr_rep_006_t04,0.588445613797832
pr_rep_007_t01,0.510539213929611
pr_rep_007_t02,0.510539213929611
pr_rep_007_t03,0.510539213929611
pr_rep_007_t04,0.510539213929611
pr_rep_008_t01,0.456743068612685
pr_rep_008_t02,0.456743068612685
pr_rep_008_t03,0.456743068612685
pr_rep_008_t04,0.456743068612685
pr_rep_009_t01,0.431644728376009
pr_rep_009_t02,0.431644728376009
pr_rep_009_t03,0.431644728376009
pr_rep_009_t04,0.431644728376009
pr_rep_010_t01,0.569781836370628
pr_rep_010_t02,0.569781836370628
pr_rep_010_t03,0.569781836370628
pr_rep_010_t04,0.569781836370628
pr_rep_011_t01,0.646553099127245
pr_rep_011_t02,0.646553099127245
pr_rep_011_t03,0.646553099127245
pr_rep_011_t04,0.646553099127245
pr_rep_012_t01,0.492670817819783
pr_rep_012_t02,0.492670817819783
pr_rep_012_t03,0.492670817819783
pr_rep_012_t04,0.492670817819783
pr_rep_013_t01,0.395021800455368
pr_rep_013_t02,0.395021800455368
pr_rep_013_t03,0.395021800455368
pr_rep_013_t04,0.395021800455368
pr_rep_014_t01,0.349465251755622
pr_rep_014_t02,0.349465251755622
pr_rep_014_t03,0.349465251755622
