par,lb,ub
169_t02,-1,1
169_t03,-1,1
169_t04,-1,1
170_t01,-1,1
170_t02,-1,1
170_t03,-1,1
170_t04,-1,1
171_t01,-1,1
171_t02,-1,1
171_t03,-1,1
171_t04,-1,1
172_t01,-1,1
172_t02,-1,1
172_t03,-1,1
172_t04,-1,1
