moment,data,data_sd,simulation,distance,sq_diff
cnn block 348,0.00231231639384315,4212.112263703118,0.001815955212517813,-0.000496361181325337,0.001037756725744997
cnn block 805,0.00183890783474458,4839.420054903744,0.00137524224401046,-0.00046366559073411986,0.0010404064954002768
msnbc block 470,0.00583162760387903,2794.3164510686292,0.005220212463520017,-0.0006114151403590132,0.0010445950543855247
msnbc block 231,0.00391905812915385,3213.9834424223827,0.004489824099666939,0.0005707659705130883,0.0010470315769848678
msnbc block 803,0.00392597724946497,3315.537343440422,0.004489824099666939,0.0005638468502019685,0.0010540864756340392
cnn block 413,0.00209528918502402,4593.787650218281,0.0025751023193749307,0.00047981313435091055,0.0010575847507531143
cnn block 209,0.00185251363534481,4659.946536398903,0.00137524224401046,-0.00047727139133434994,0.001061479813030064
cnn block 620,0.00187451505264719,4650.130775079576,0.0013948278497825164,-0.00047968720286467354,0.0010699942198747273
cnn block 167,0.0010455452602758,7572.8943499574825,0.0014216372201875745,0.00037609195991177447,0.0010711492704883368
cnn block 471,0.00251270383706289,4249.874568092469,0.003019218428217168,0.0005065145911542779,0.0010903352015339922
cnn block 236,0.00186076926892173,4659.507100363985,0.00137524224401046,-0.0004855270249112698,0.0010984158579123574
cnn block 812,0.00185272959895785,4821.3680819514675,0.00137524224401046,-0.0004774873549473898,0.0010992438340437086
cnn block 110,0.00182105366270682,5557.733315419165,0.00137524224401046,-0.00044581141869635987,0.0011045873863613136
cnn block 213,0.000961588673324534,6465.070076163317,0.00137524224401046,0.0004136535706859261,0.0011062334635205723
cnn block 570,0.00324148982202359,4427.039873916065,0.0027410550747490065,-0.0005004347472745835,0.0011086854487321982
msnbc block 288,0.00518694718127269,2801.462256942666,0.005817262044948275,0.0006303148636755849,0.0011130120666811608
msnbc block 487,0.00560263442983694,3089.250464577568,0.00500233301695315,-0.0006003014128837898,0.001113247815775017
msnbc block 603,0.00421934129220426,3103.1161659417494,0.00482039497534028,0.0006010536831360207,0.001121048906375815
cnn block 207,0.0018690680646527,4639.302420050349,0.00137524224401046,-0.00049382582064224,0.001131358572261258
msnbc block 163,0.0040046225249591,3875.2230656365177,0.004544968631317223,0.0005403461063581234,0.001131464048640609
cnn block 212,0.000956630637810375,6481.785957832361,0.00137524224401046,0.0004186116062000851,0.001135840149487861
