date,rating,group,prob
2012-10-10,0.00536206960868453,path_day_91,0.00597422741566202
2012-10-11,0.0121306481996446,path_day_92,0.0114071747265572
2012-10-12,0.00515164554824235,path_day_93,0.00575870705471575
2012-10-15,0.00521740772986508,path_day_94,0.00578864470239668
2012-10-16,0.0143431378295147,path_day_95,0.0131209738968312
2012-10-17,0.00656167432992744,path_day_96,0.00682920553974448
2012-10-18,0.00604370714861868,path_day_97,0.00638846166425975
2012-10-19,0.00525982255589143,path_day_98,0.00573298994756419
2012-10-22,0.0134929376349859,path_day_99,0.0123437649211371
2012-10-23,0.00615987427930814,path_day_100,0.00641060298007855
2012-10-24,0.00593942122601149,path_day_101,0.00621030768318237
2012-10-25,0.00622260525695676,path_day_102,0.00641437136595178
